Player,APY
davidsills,1055000
dwayneeskridge,1055000
gregward,1055000
maliktaylor,1055000
jacobharris,1055000
freddieswain,1055000
tyriecleveland,1055000
quintezcephus,1055000
simifehoko,1055000
denzelmims,1055000
lawrencecager,1055000
nsimbawebster,1055000
kjhamler,1055000
dauricefountain,1055000
danchisena,1055000
jordanthomas,1055000
collinjohnson,1055000
chrismyarick,1055000
parkerhesse,1055000
malikwashington,1054890
johnnywilson,1054252
caseywashington,1053399
tejhaunpalmer,1051307
tannermclachlan,1050764
johnbates,1050604
kylengranson,1046591
tannerconner,1042500
raceymcmath,1042500
millerforristall,1042500
joshwhyle,1041342
tylanwallace,1041339
isaiahlikely,1041084
calvinaustiniii,1041084
chigoziemokonkwo,1041084
justinshorter,1040987
jordanwhittington,1039597
ryanflournoy,1039597
dontayvionwicks,1035636
isaiahhodgins,1035000
brendenrice,1033648
willmallory,1032648
jaheimbell,1031648
devaughnvele,1031120
tahjwashington,1027599
devinculp,1026546
corneliusjohnson,1025184
paynedurham,1021245
davisallen,1021245
pukanacua,1021245
parkerwashington,1008066
kayshonboutte,1006819
treypalmer,1004824
atperry,1004091
elijahhiggins,1003970
khalilshakir,1001788
xavierhutchinson,1000925
andreiiosivas,999848
coleturner,999720
mikestrachan,997500
tyreejackson,997500
demariodouglas,993333
kylephilips,993332
antoinegreen,989190
teaganquitoriano,989037
coltondowell,985674
deventhompkins,985000
daxmilne,985000
austintrammell,985000
codythompson,985000
mattsokol,985000
frankdarby,985000
timjones,985000
andrebaccellia,985000
dezfitzpatrick,985000
davidwells,985000
tomkennedy,985000
quintinmorris,985000
montrellwashington,985000
trishtonjackson,985000
kristianwilkerson,985000
daviondavis,985000
jaelondarden,985000
stephencarlson,985000
anthonyschwartz,985000
nickmuse,985000
shanezylstra,985000
jalenbrooks,980589
braydenwillis,979975
ronniebell,979446
jamesmitchell,975639
kelvinharmon,972500
deontayburnett,972500
raleighwebb,972500
lancemccutcheon,972500
braylonsanders,972500
nikolakalinic,972500
jalennailor,960165
andrewogletree,959548
lukefarrell,959505
grantcalcaterra,958535
brevinjordan,958046
michaelwoods,957073
connorheyward,953806
xavierweaver,953333
mccallancastles,953333
johnjiles,953333
deewilliams,951667
jackwestover,951667
daytonwade,951667
davidwhitejr,951667
jalencoker,951667
brevynspannford,950000
ahmareanbrown,950000
noahgray,948445
joshcephus,948333
marcusrosemyjacksaint,948333
leonjohnson,948333
haydenhatten,948333
isaiahwilliams,948333
treytonwelch,948333
jaloncalhoun,948333
coleburgess,948333
johnfitzpatrick,948003
kokieft,948003
thomasyassmin,947333
jacobwarren,946667
kameronjohnson,946667
trentpennix,946667
jeshaunjones,946667
treyknox,946667
tulugriffin,946667
camjohnson,946667
brendenbates,946667
dallinholker,946667
messiahswinson,946667
masontipton,946667
masonpline,946667
jeffforeman,946667
xavierjohnson,946667
lawrencekeys,946667
drakestoops,946000
davidmartinrobinson,945833
baylorcupp,945833
austinstogner,945667
teriqueowens,945500
lukebenson,945333
brevineaston,945000
camgrandy,945000
tylerharrell,945000
zachheins,945000
tannerknue,945000
lincolnsefcik,945000
stevenstilianos,945000
isaiahwashington,945000
marcusriley,945000
latrealjones,945000
jaylenjohnson,944667
shawnbowman,944333
samwiglusz,944333
jaelengill,944333
ramelkeyton,944167
rileysharp,944167
jequanburton,944000
jjlaap,944000
haydenrucci,943833
mikerigerman,943667
joescates,943667
ayirasante,943667
jaaronhayek,943333
derekslywka,943333
patrickmurtagh,943333
davidwallis,943333
qadirismail,943333
johnjackson,943333
phillipbrooks,943333
julianhicks,943333
odieuhiliare,943333
samschnee,943333
tyjames,943333
bryceoliver,943333
kevinfoelsch,943333
dimitristanley,943333
devincarter,943333
georquariusspivey,943333
alecholler,943333
darekeyoung,940275
austinwatkins,940000
samoritoure,934253
britaincovey,927500
djturner,927500
djmontgomery,927500
sammisreyes,915000
jaketonges,915000
mauricealexander,915000
bradyrussell,915000
deoncain,915000
hakeembutler,915000
cornellpowell,915000
daltonkeene,915000
alexbachman,915000
easopwinston,915000
codywhite,915000
tylermabry,915000
michaelbandy,915000
kendricpryor,915000
shedrickjackson,915000
ethanfernea,915000
jasonbrownlee,908333
rakimjarrett,906667
brycefordwheaton,905000
malikknowles,903333
xaviergipson,903333
nikkoremigio,903333
mitchelltinsley,903333
julianhill,902500
jakebobo,901667
nateadkins,901667
daviddurden,901667
elijahcooks,901667
bensims,901667
malikheath,901333
johnstephens,899333
kearisjackson,898333
joshali,898333
ejjenkins,892500
bennettskowronek,891131
tyrellshavers,882000
bryanthompson,882000
treshaunharrison,877500
kyricmcgowan,877500
ryanmiller,877500
tannertaula,877500
jessematthews,877500
isaiahwinstead,877500
nealjohnson,877500
brandonsmith,877500
cephusjohnson,877500
josephngata,877500
xaviersmith,877500
