Player,Pos,G,Tgt,Rec,Yds,TD
cooperkupp,WR,17,191,145,1947,16
justinjefferson,WR,17,167,108,1616,10
davanteadams,WR,16,169,123,1553,11
jamarrchase,WR,17,128,81,1455,13
deebosamuel,WR,16,121,77,1405,6
markandrews,TE,17,153,107,1361,9
tyreekhill,WR,17,159,111,1239,9
stefondiggs,WR,17,164,103,1225,10
tylerlockett,WR,16,107,73,1175,8
diontaejohnson,WR,16,169,107,1161,8
djmoore,WR,17,163,93,1157,4
mikewilliams,WR,16,129,76,1146,9
keenanallen,WR,16,157,106,1138,6
traviskelce,TE,16,134,92,1125,9
chrisgodwin,WR,14,127,98,1103,5
ceedeelamb,WR,16,120,79,1102,6
teehiggins,WR,14,110,74,1091,6
michaelpittmanjr,WR,17,129,88,1082,6
darnellmooney,WR,17,140,81,1055,4
terrymclaurin,WR,17,130,77,1053,5
hunterrenfrow,WR,17,128,103,1038,9
brandincooks,WR,16,134,90,1037,6
mikeevans,WR,16,114,74,1035,14
kylepitts,TE,17,110,68,1026,1
jaylenwaddle,WR,16,140,104,1015,6
marquisebrown,WR,16,146,91,1008,6
christiankirk,WR,17,103,77,982,5
dkmetcalf,WR,17,129,75,967,12
devontasmith,WR,17,104,64,916,5
amonrastbrown,WR,17,119,90,912,5
georgekittle,TE,14,94,71,910,6
ajbrown,WR,13,105,63,869,5
jakobimeyers,WR,17,126,83,866,2
amaricooper,WR,15,104,68,865,8
chaseclaypool,WR,15,105,59,860,2
ajgreen,WR,16,92,54,848,3
marvinjones,WR,17,120,73,832,4
dallasgoedert,TE,15,76,56,830,4
tylerboyd,WR,16,94,67,828,5
brandonaiyuk,WR,17,84,56,826,5
daltonschultz,TE,17,104,78,808,8
robgronkowski,TE,12,89,55,802,6
vanjefferson,WR,17,89,50,802,6
kendrickbourne,WR,17,70,55,800,5
mikegesicki,TE,17,112,73,780,2
courtlandsutton,WR,17,98,58,776,2
russellgage,WR,14,94,66,770,4
zachertz,TE,17,112,74,763,5
timpatrick,WR,16,85,53,734,5
adamthielen,WR,13,95,67,726,10
