Player,APY
irvsmithjr,"$1,292,500"
milesboykin,"$1,292,500"
vanjefferson,"$1,292,500"
khadarelhodge,"$1,292,500"
ericsaubert,"$1,292,500"
rivercracraft,"$1,292,500"
jalenreagor,"$1,292,500"
davidmoore,"$1,292,500"
jalenguyton,"$1,292,500"
jalentolbert,"$1,283,930"
donaldparham,"$1,267,500"
davidbell,"$1,261,226"
jeremyruckert,"$1,261,226"
dannygray,"$1,261,226"
jatavionsanders,"$1,261,059"
jamisoncrowder,"$1,260,000"
mycolepruitt,"$1,260,000"
joshpalmer,"$1,258,014"
hunterlong,"$1,242,174"
dyamibrown,"$1,236,000"
tommytremble,"$1,231,609"
jodyfortson,"$1,225,000"
chaseclaypool,"$1,225,000"
troyfranklin,"$1,218,709"
theojohnson,"$1,212,859"
laquontreadwell,"$1,210,000"
robbiechosen,"$1,210,000"
damierebyrd,"$1,210,000"
nickvannett,"$1,210,000"
williesnead,"$1,210,000"
erictomlinson,"$1,210,000"
phillipdorsett,"$1,210,000"
javonbaker,"$1,209,149"
devontezwalker,"$1,204,463"
erickall,"$1,203,276"
deandrecarter,"$1,200,000"
ajbarner,"$1,193,777"
cadestover,"$1,189,734"
jaredwiley,"$1,177,155"
deriusdavis,"$1,137,982"
jacobcowing,"$1,137,177"
andyisabella,"$1,133,000"
cadeotton,"$1,130,985"
tylerjohnson,"$1,130,000"
charliejones,"$1,129,694"
tylerscott,"$1,125,862"
tommysweeney,"$1,125,000"
seanmckeon,"$1,125,000"
roberttonyan,"$1,125,000"
johnross,"$1,125,000"
trenttaylor,"$1,125,000"
equanimeousstbrown,"$1,125,000"
mecolehardman,"$1,125,000"
keithkirkwood,"$1,125,000"
jamesproche,"$1,125,000"
tonybrown,"$1,125,000"
kevinrader,"$1,125,000"
martavisbryant,"$1,125,000"
jacobhollister,"$1,125,000"
jesperhorsted,"$1,125,000"
gunnerolszewski,"$1,125,000"
anthonymiller,"$1,125,000"
jakeemgrant,"$1,125,000"
haydenhurst,"$1,125,000"
liljordanhumphrey,"$1,125,000"
stanleymorgan,"$1,125,000"
dantepettis,"$1,125,000"
byronpringle,"$1,125,000"
jameswashington,"$1,125,000"
anthonyfirkser,"$1,125,000"
trequansmith,"$1,125,000"
jordanmatthews,"$1,125,000"
nkealharry,"$1,125,000"
gregdortch,"$1,125,000"
danielbellinger,"$1,113,278"
jackstoll,"$1,105,000"
zachgentry,"$1,102,500"
erikezukanma,"$1,096,248"
anthonygould,"$1,093,166"
charliekolar,"$1,091,220"
jakeferguson,"$1,091,220"
ainiassmith,"$1,088,574"
jamarithrash,"$1,086,352"
romeodoubs,"$1,085,979"
tylerdavis,"$1,075,000"
mitchellwilcox,"$1,075,000"
bubmeans,"$1,068,569"
juwannwinfree,"$1,067,500"
tremckitty,"$1,059,000"
jhaquanjackson,"$1,055,917"
tyronjohnson,"$1,055,000"
davidsills,"$1,055,000"
dwayneeskridge,"$1,055,000"
gregward,"$1,055,000"
maliktaylor,"$1,055,000"
jacobharris,"$1,055,000"
freddieswain,"$1,055,000"
tyriecleveland,"$1,055,000"
quintezcephus,"$1,055,000"
simifehoko,"$1,055,000"
denzelmims,"$1,055,000"
lawrencecager,"$1,055,000"
nsimbawebster,"$1,055,000"
kjhamler,"$1,055,000"
dauricefountain,"$1,055,000"
danchisena,"$1,055,000"
jordanthomas,"$1,055,000"
collinjohnson,"$1,055,000"
chrismyarick,"$1,055,000"
parkerhesse,"$1,055,000"
malikwashington,"$1,054,890"
johnnywilson,"$1,054,252"
caseywashington,"$1,053,399"
tejhaunpalmer,"$1,051,307"
tannermclachlan,"$1,050,764"
johnbates,"$1,050,604"
kylengranson,"$1,046,591"
tannerconner,"$1,042,500"
raceymcmath,"$1,042,500"
millerforristall,"$1,042,500"
joshwhyle,"$1,041,342"
tylanwallace,"$1,041,339"
isaiahlikely,"$1,041,084"
calvinaustiniii,"$1,041,084"
chigoziemokonkwo,"$1,041,084"
justinshorter,"$1,040,987"
jordanwhittington,"$1,039,597"
ryanflournoy,"$1,039,597"
dontayvionwicks,"$1,035,636"
isaiahhodgins,"$1,035,000"
brendenrice,"$1,033,648"
willmallory,"$1,032,648"
jaheimbell,"$1,031,648"
devaughnvele,"$1,031,120"
tahjwashington,"$1,027,599"
devinculp,"$1,026,546"
corneliusjohnson,"$1,025,184"
paynedurham,"$1,021,245"
davisallen,"$1,021,245"
pukanacua,"$1,021,245"
parkerwashington,"$1,008,066"
kayshonboutte,"$1,006,819"
treypalmer,"$1,004,824"
atperry,"$1,004,091"
elijahhiggins,"$1,003,970"
khalilshakir,"$1,001,788"
xavierhutchinson,"$1,000,925"
andreiiosivas,"$999,848"
coleturner,"$999,720"
mikestrachan,"$997,500"
tyreejackson,"$997,500"
demariodouglas,"$993,333"
kylephilips,"$993,332"
antoinegreen,"$989,190"
teaganquitoriano,"$989,037"
coltondowell,"$985,674"
deventhompkins,"$985,000"
daxmilne,"$985,000"
austintrammell,"$985,000"
codythompson,"$985,000"
mattsokol,"$985,000"
frankdarby,"$985,000"
timjones,"$985,000"
andrebaccellia,"$985,000"
dezfitzpatrick,"$985,000"
davidwells,"$985,000"
tomkennedy,"$985,000"
quintinmorris,"$985,000"
montrellwashington,"$985,000"
trishtonjackson,"$985,000"
kristianwilkerson,"$985,000"
daviondavis,"$985,000"
jaelondarden,"$985,000"
stephencarlson,"$985,000"
anthonyschwartz,"$985,000"
nickmuse,"$985,000"
shanezylstra,"$985,000"
jalenbrooks,"$980,589"
braydenwillis,"$979,975"
ronniebell,"$979,446"
jamesmitchell,"$975,639"
kelvinharmon,"$972,500"
deontayburnett,"$972,500"
raleighwebb,"$972,500"
lancemccutcheon,"$972,500"
braylonsanders,"$972,500"
nikolakalinic,"$972,500"
jalennailor,"$960,165"
andrewogletree,"$959,548"
lukefarrell,"$959,505"
grantcalcaterra,"$958,535"
brevinjordan,"$958,046"
michaelwoods,"$957,073"
connorheyward,"$953,806"
xavierweaver,"$953,333"
mccallancastles,"$953,333"
johnjiles,"$953,333"
deewilliams,"$951,667"
jackwestover,"$951,667"
daytonwade,"$951,667"
davidwhitejr,"$951,667"
jalencoker,"$951,667"
brevynspannford,"$950,000"
ahmareanbrown,"$950,000"
noahgray,"$948,445"
joshcephus,"$948,333"
marcusrosemyjacksaint,"$948,333"
leonjohnson,"$948,333"
haydenhatten,"$948,333"
isaiahwilliams,"$948,333"
treytonwelch,"$948,333"
jaloncalhoun,"$948,333"
coleburgess,"$948,333"
johnfitzpatrick,"$948,003"
kokieft,"$948,003"
thomasyassmin,"$947,333"
jacobwarren,"$946,667"
kameronjohnson,"$946,667"
trentpennix,"$946,667"
jeshaunjones,"$946,667"
treyknox,"$946,667"
tulugriffin,"$946,667"
camjohnson,"$946,667"
brendenbates,"$946,667"
dallinholker,"$946,667"
messiahswinson,"$946,667"
masontipton,"$946,667"
masonpline,"$946,667"
jeffforeman,"$946,667"
xavierjohnson,"$946,667"
lawrencekeys,"$946,667"
drakestoops,"$946,000"
davidmartinrobinson,"$945,833"
baylorcupp,"$945,833"
austinstogner,"$945,667"
teriqueowens,"$945,500"
lukebenson,"$945,333"
brevineaston,"$945,000"
camgrandy,"$945,000"
tylerharrell,"$945,000"
zachheins,"$945,000"
tannerknue,"$945,000"
lincolnsefcik,"$945,000"
stevenstilianos,"$945,000"
isaiahwashington,"$945,000"
marcusriley,"$945,000"
latrealjones,"$945,000"
jaylenjohnson,"$944,667"
shawnbowman,"$944,333"
samwiglusz,"$944,333"
jaelengill,"$944,333"
ramelkeyton,"$944,167"
rileysharp,"$944,167"
jequanburton,"$944,000"
jjlaap,"$944,000"
haydenrucci,"$943,833"
mikerigerman,"$943,667"
joescates,"$943,667"
ayirasante,"$943,667"
jaaronhayek,"$943,333"
derekslywka,"$943,333"
patrickmurtagh,"$943,333"
davidwallis,"$943,333"
qadirismail,"$943,333"
johnjackson,"$943,333"
phillipbrooks,"$943,333"
julianhicks,"$943,333"
odieuhiliare,"$943,333"
samschnee,"$943,333"
tyjames,"$943,333"
bryceoliver,"$943,333"
kevinfoelsch,"$943,333"
dimitristanley,"$943,333"
devincarter,"$943,333"
georquariusspivey,"$943,333"
alecholler,"$943,333"
darekeyoung,"$940,275"
austinwatkins,"$940,000"
samoritoure,"$934,253"
britaincovey,"$927,500"
djturner,"$927,500"
djmontgomery,"$927,500"
sammisreyes,"$915,000"
jaketonges,"$915,000"
mauricealexander,"$915,000"
bradyrussell,"$915,000"
deoncain,"$915,000"
hakeembutler,"$915,000"
cornellpowell,"$915,000"
daltonkeene,"$915,000"
alexbachman,"$915,000"
easopwinston,"$915,000"
codywhite,"$915,000"
tylermabry,"$915,000"
michaelbandy,"$915,000"
kendricpryor,"$915,000"
shedrickjackson,"$915,000"
ethanfernea,"$915,000"
jasonbrownlee,"$908,333"
rakimjarrett,"$906,667"
brycefordwheaton,"$905,000"
malikknowles,"$903,333"
xaviergipson,"$903,333"
nikkoremigio,"$903,333"
mitchelltinsley,"$903,333"
julianhill,"$902,500"
jakebobo,"$901,667"
nateadkins,"$901,667"
daviddurden,"$901,667"
elijahcooks,"$901,667"
bensims,"$901,667"
malikheath,"$901,333"
johnstephens,"$899,333"
kearisjackson,"$898,333"
joshali,"$898,333"
ejjenkins,"$892,500"
bennettskowronek,"$891,131"
tyrellshavers,"$882,000"
bryanthompson,"$882,000"
treshaunharrison,"$877,500"
kyricmcgowan,"$877,500"
ryanmiller,"$877,500"
tannertaula,"$877,500"
jessematthews,"$877,500"
isaiahwinstead,"$877,500"
nealjohnson,"$877,500"
brandonsmith,"$877,500"
cephusjohnson,"$877,500"
josephngata,"$877,500"
xaviersmith,"$877,500"
princetonfant,"$877,500"
jalenmorenocropper,"$877,500"
johnnyjohnsoniii,"$877,500"
michaeljacobson,"$877,500"
armanirogers,"$859,167"
peytonhendershot,"$858,333"
jalenvirgil,"$857,500"
stonesmartt,"$855,000"
brandonjohnson,"$853,333"
kavontaeturpin,"$853,333"
justynross,"$853,333"
zachdavidson,"$837,000"
travisvokolek,"$832,500"
lucaskrull,"$832,500"
masonkinsey,"$832,500"
irvincharles,"$832,500"
blakewhiteheart,"$832,500"
bomelton,"$832,500"
