Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Justin Jefferson*+,MIN,23,WR,17,17,184,128,69.60%,1809,14.1,8,80,57.6,64,9.8,7.5,106.4,0
2,Tyreek Hill*+,MIA,28,WR,17,17,170,119,70.00%,1710,14.4,7,77,56.5,64,10.1,7,100.6,1
3,Davante Adams*+,LVR,30,WR,17,17,180,100,55.60%,1516,15.2,14,65,46.1,60,8.4,5.9,89.2,1
4,A.J. Brown*,PHI,25,WR,17,16,145,88,60.70%,1496,17,11,59,51.7,78,10.3,5.2,88,2
5,Stefon Diggs*,BUF,29,WR,16,16,154,108,70.10%,1429,13.2,11,74,64.3,53,9.3,6.8,89.3,1
6,CeeDee Lamb*,DAL,23,WR,17,17,156,107,68.60%,1359,12.7,9,67,55.1,39,8.7,6.3,79.9,0
7,Jaylen Waddle,MIA,24,WR,17,17,117,75,64.10%,1356,18.1,8,60,54.7,84,11.6,4.4,79.8,1
8,Travis Kelce*+,KAN,33,TE,17,17,152,110,72.40%,1338,12.2,12,78,63.2,52,8.8,6.5,78.7,1
9,DeVonta Smith,PHI,24,WR,17,17,136,95,69.90%,1196,12.6,7,57,54.4,45,8.8,5.6,70.4,1
10,Terry McLaurin*,WAS,27,WR,17,17,120,77,64.20%,1191,15.5,5,56,55,52,9.9,4.5,70.1,1
11,Amon-Ra St. Brown*,DET,23,WR,16,16,146,106,72.60%,1161,11,6,68,62.3,49,8,6.6,72.6,0
12,Amari Cooper,CLE,28,WR,17,17,132,78,59.10%,1160,14.9,9,61,53,55,8.8,4.6,68.2,0
13,Mike Evans,TAM,29,WR,15,15,127,77,60.60%,1124,14.6,6,53,54.3,63,8.9,5.1,74.9,0
14,Christian Kirk,JAX,26,WR,17,17,133,84,63.20%,1108,13.2,8,55,52.6,49,8.3,4.9,65.2,1
15,Garrett Wilson,NYJ,22,WR,17,12,147,83,56.50%,1103,13.3,4,56,47.6,60,7.5,4.9,64.9,2
