Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
50,Cooper Kupp,LAR,30,WR,12,12,95,59,62.10%,737,12.5,5,33,49.5,62,7.8,4.9,61.4,0
51,Cole Kmet,CHI,24,TE,17,17,90,73,81.10%,719,9.8,6,36,62.2,53,8,4.3,42.3,1
52,Rashid Shaheed*+,NOR,25,WR,15,8,75,46,61.30%,719,15.6,5,27,46.7,58,9.6,3.1,47.9,1
53,Diontae Johnson,PIT,27,WR,13,11,87,51,58.60%,717,14.1,5,37,52.9,71,8.2,3.9,55.2,1
54,Tank Dell,HOU,24,WR,11,8,75,47,62.70%,709,15.1,7,34,54.7,68,9.5,4.3,64.5,1
55,Romeo Doubs,GNB,23,WR,17,16,96,59,61.50%,674,11.4,8,41,51,36,7,3.5,39.6,1
56,Dalton Kincaid,BUF,24,TE,16,11,91,73,80.20%,673,9.2,2,29,61.5,51,7.4,4.6,42.1,1
57,Tyler Boyd,CIN,29,WR,17,13,98,67,68.40%,667,10,2,28,46.9,64,6.8,3.9,39.2,0
58,Kyle Pitts,ATL,23,TE,17,15,90,53,58.90%,667,12.6,3,35,52.2,39,7.4,3.1,39.2,0
59,Brandin Cooks,DAL,30,WR,16,15,81,54,66.70%,657,12.2,8,38,59.3,37,8.1,3.4,41.1,1
60,Tee Higgins,CIN,24,WR,12,11,76,42,55.30%,656,15.6,5,33,53.9,80,8.6,3.5,54.7,0
61,Elijah Moore,CLE,23,WR,17,12,104,59,56.70%,640,10.8,2,29,42.3,42,6.2,3.5,37.6,2
62,Dalton Schultz,HOU,27,TE,15,8,88,59,67.00%,635,10.8,5,35,52.3,31,7.2,3.9,42.3,1
63,Jaxon Smith-Njigba,SEA,21,WR,17,3,93,63,67.70%,628,10,4,29,47.3,35,6.8,3.7,36.9,0
64,Tyler Conklin,NYJ,28,TE,17,12,87,61,70.10%,621,10.2,0,27,44.8,37,7.1,3.6,36.5,0
65,Curtis Samuel,WAS,27,WR,16,13,91,62,68.10%,613,9.9,4,26,50.5,37,6.7,3.9,38.3,0
66,Khalil Shakir,BUF,23,WR,17,10,45,39,86.70%,611,15.7,2,26,73.3,81,13.6,2.3,35.9,1
67,Josh Reynolds,DET,28,WR,17,13,64,40,62.50%,608,15.2,5,32,56.3,33,9.5,2.4,35.8,1
68,Dallas Goedert,PHI,28,TE,14,14,83,59,71.10%,592,10,3,33,60.2,49,7.1,4.2,42.3,0
69,Breece Hall,NYJ,22,RB,17,16,95,76,80.00%,591,7.8,4,28,40,50,6.2,4.5,34.8,2
70,Jonnu Smith,ATL,28,TE,17,6,70,50,71.40%,582,11.6,3,26,51.4,60,8.3,2.9,34.2,1
71,Dontayvion Wicks,GNB,22,WR,15,6,58,39,67.20%,581,14.9,4,29,62.1,35,10,2.6,38.7,3
72,Josh Palmer,LAC,24,WR,10,6,61,38,62.30%,581,15.3,2,22,47.5,79,9.5,3.8,58.1,1
73,Marquise Brown,ARI,26,WR,14,14,101,51,50.50%,574,11.3,4,32,42.6,41,5.7,3.6,41,0
74,Noah Brown,HOU,27,WR,10,7,55,33,60.00%,567,17.2,2,24,52.7,75,10.3,3.3,56.7,0
75,Michael Wilson,ARI,23,WR,13,12,58,38,65.50%,565,14.9,3,29,56.9,69,9.7,2.9,43.5,0
76,Odell Beckham Jr.,BAL,31,WR,14,6,64,35,54.70%,565,16.1,3,27,50,51,8.8,2.5,40.4,1
77,Christian McCaffrey*+,SFO,27,RB,16,16,83,67,80.70%,564,8.4,7,31,55.4,41,6.8,4.2,35.3,3
78,Demario Douglas,NWE,23,WR,14,7,79,49,62.00%,561,11.4,0,26,45.6,42,7.1,3.5,40.1,3
79,Darren Waller,NYG,31,TE,12,11,74,52,70.30%,552,10.6,1,25,56.8,29,7.5,4.3,46,0
80,Rachaad White,TAM,24,RB,17,17,70,64,91.40%,549,8.6,3,23,54.3,43,7.8,3.8,32.3,3
81,Mark Andrews,BAL,28,TE,10,9,61,45,73.80%,544,12.1,6,27,62.3,38,8.9,4.5,54.4,1
82,K.J. Osborn,MIN,26,WR,16,12,75,48,64.00%,540,11.3,3,28,45.3,47,7.2,3,33.8,1
83,Chigoziem Okonkwo,TEN,24,TE,17,11,77,54,70.10%,528,9.8,1,25,48.1,39,6.9,3.2,31.1,0
84,Wan'Dale Robinson,NYG,22,WR,15,8,78,60,76.90%,525,8.8,1,29,53.8,33,6.7,4,35,0
85,DJ Chark,CAR,27,WR,15,11,66,35,53.00%,525,15,5,22,43.9,47,8,2.3,35,2
86,Jahan Dotson,WAS,23,WR,17,16,83,49,59.00%,518,10.6,4,27,48.2,33,6.2,2.9,30.5,0
87,Alec Pierce,IND,23,WR,17,16,65,32,49.20%,514,16.1,2,24,46.2,58,7.9,1.9,30.2,0
88,Logan Thomas,WAS,32,TE,16,15,78,55,70.50%,496,9,4,21,56.4,29,6.4,3.4,31,2
89,Tyler Higbee,LAR,30,TE,15,15,70,47,67.10%,495,10.5,2,26,57.1,33,7.1,3.1,33,0
90,Kalif Raymond,DET,29,WR,17,3,44,35,79.50%,489,14,1,20,65.9,41,11.1,2.1,28.8,1
91,Bijan Robinson,ATL,21,RB,17,16,86,58,67.40%,487,8.4,4,24,45.3,71,5.7,3.4,28.6,4
92,Tutu Atwell,LAR,24,WR,16,14,67,39,58.20%,483,12.4,3,26,47.8,44,7.2,2.4,30.2,0
93,Travis Etienne,JAX,24,RB,17,17,73,58,79.50%,476,8.2,1,23,49.3,56,6.5,3.4,28,0
94,Alvin Kamara,NOR,28,RB,13,12,86,75,87.20%,466,6.2,1,23,45.3,25,5.4,5.8,35.8,0
